Organization legal name or 'doing business as' name,Group PAC ID,State,Participating in PQRS,Measure Identifier,Measure Title,Inverse Measure,Measure Performance Rate,Footnote,Reporting Mechanism,Reported on PC Live Site
ST CLOUD PHYSICIAN MANAGEMENT LLC,2365545662,FL,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,77,,REG,Y
ST CLOUD PHYSICIAN MANAGEMENT LLC,2365545662,FL,Y,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,Y,87,,REG,Y
SCOTLAND REGIONAL HEALTH NETWORK,2365573185,NC,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,23,,REG,N
SCOTLAND REGIONAL HEALTH NETWORK,2365573185,NC,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,4,,REG,Y
WINTHROP FACULTY MEDICAL AFFILIATES UNIVERSITY FACULTY PRACTICE CORPOR,2365613783,NY,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,12,,REG,N
WINTHROP FACULTY MEDICAL AFFILIATES UNIVERSITY FACULTY PRACTICE CORPOR,2365613783,NY,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,2,,REG,Y
A WISERMIND LLC,2365626017,AZ,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,63,,REG,Y
A WISERMIND LLC,2365626017,AZ,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,61,,REG,Y
A WISERMIND LLC,2365626017,AZ,Y,PQRS_GRP_181_1,Elder Maltreatment Screen and Follow-Up Plan,N,58,,REG,Y
MDICS AT SHORE HEALTH LLC,2365676327,MD,Y,PQRS_GRP_47_1,Care Plan,N,97,,REG,Y
APOGEE MEDICAL GROUP WISCONSIN SC,2365677952,WI,Y,PQRS_GRP_32_1,Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,N,85,,REG,Y
APOGEE MEDICAL GROUP WISCONSIN SC,2365677952,WI,Y,PQRS_GRP_47_1,Care Plan,N,100,,REG,Y
FLORIDA HOSPITAL PHYSICIAN GROUP INC,2365679057,FL,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,86,,REG,Y
FLORIDA HOSPITAL PHYSICIAN GROUP INC,2365679057,FL,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,51,,REG,Y
FLORIDA HOSPITAL PHYSICIAN GROUP INC,2365679057,FL,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,19,,REG,N
FLORIDA HOSPITAL PHYSICIAN GROUP INC,2365679057,FL,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,3,,REG,Y
FLORIDA HOSPITAL PHYSICIAN GROUP INC,2365679057,FL,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,82,,REG,Y
FLORIDA HOSPITAL PHYSICIAN GROUP INC,2365679057,FL,Y,PQRS_GRP_7_1,Coronary Artery Disease (CAD): Beta-Blocker Therapy  Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,67,,REG,Y
FLORIDA HOSPITAL PHYSICIAN GROUP INC,2365679057,FL,Y,PQRS_GRP_7_2,Coronary Artery Disease (CAD): Beta-Blocker Therapy  Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,88,,REG,Y
OSU NEURO-PSYCHIATRIC PHYSICIAN,2466342753,OH,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,83,,REG,Y
TIDEWATER ORTHOPAEDIC ASSOCIATES INC.,2466345814,VA,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,98,,REG,Y
TIDEWATER ORTHOPAEDIC ASSOCIATES INC.,2466345814,VA,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,84,,REG,Y
TIDEWATER ORTHOPAEDIC ASSOCIATES INC.,2466345814,VA,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,7,,REG,N
TIDEWATER ORTHOPAEDIC ASSOCIATES INC.,2466345814,VA,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,1,,REG,Y
RED BUD CLINIC CORP,2466357181,IL,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,64,,REG,Y
RED BUD CLINIC CORP,2466357181,IL,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,25,,REG,Y
PECOS VALLEY OF NEW MEXICO LLC,2466359781,NM,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,81,,REG,Y
PECOS VALLEY OF NEW MEXICO LLC,2466359781,NM,Y,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,Y,85,,REG,Y
PECOS VALLEY OF NEW MEXICO LLC,2466359781,NM,Y,PQRS_GRP_334_1,Adult Sinusitis: More than One Computerized Tomography (CT) Scan Within 90 Days for Chronic Sinusitis (Overuse),Y,2,,REG,N
PECOS VALLEY OF NEW MEXICO LLC,2466359781,NM,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,84,,REG,Y
SOUTHEASTERN EMERGENCY PHYSICIANS LLC,2466364997,KY,Y,PQRS_GRP_116_1,Antibiotic Treatment for Adults with Acute Bronchitis: Avoidance of Inappropriate Use,N,26,,REG,N
SOUTHEASTERN EMERGENCY PHYSICIANS LLC,2466364997,KY,Y,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,Y,85,,REG,Y
SOUTHEASTERN EMERGENCY PHYSICIANS LLC,2466364997,KY,Y,PQRS_GRP_332_1,Adult Sinusitis: Appropriate Choice of Antibiotic: Amoxicillin Prescribed for Patients with Acute Bacterial Sinusitis (Appropriate Use),N,48,,REG,Y
SOUTHEASTERN EMERGENCY PHYSICIANS LLC,2466364997,KY,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,99,,REG,Y
SOUTHEASTERN EMERGENCY PHYSICIANS LLC,2466364997,KY,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,62,,REG,Y
WESTERN MONTANA CLINIC PC,2466365002,MT,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,15,,REG,N
WESTERN MONTANA CLINIC PC,2466365002,MT,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,1,,REG,Y
"MASSACHUSETTS GENERAL PHYSICIANS ORGANIZATION, INC",2466365820,MA,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,95,,REG,Y
WASHAKIE MEDICAL CENTER,2466369301,WY,Y,PQRS_GRP_46_1,Medication Reconciliation,N,100,,REG,N
WASHAKIE MEDICAL CENTER,2466369301,WY,Y,PQRS_GRP_46_2,Medication Reconciliation,N,100,,REG,Y
WASHAKIE MEDICAL CENTER,2466369301,WY,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,100,,REG,Y
WASHAKIE MEDICAL CENTER,2466369301,WY,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,100,,REG,Y
"EXTENDED CARE SPECIALISTS, INC",2466407713,IN,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,36,,WI,Y
"EXTENDED CARE SPECIALISTS, INC",2466407713,IN,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,12,,WI,Y
"EXTENDED CARE SPECIALISTS, INC",2466407713,IN,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,,1,WI,Y
"EXTENDED CARE SPECIALISTS, INC",2466407713,IN,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,,1,WI,Y
"EXTENDED CARE SPECIALISTS, INC",2466407713,IN,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,,1,WI,Y
"EXTENDED CARE SPECIALISTS, INC",2466407713,IN,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,,1,WI,Y
"EXTENDED CARE SPECIALISTS, INC",2466407713,IN,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,100,,WI,Y
"EXTENDED CARE SPECIALISTS, INC",2466407713,IN,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,,1,WI,Y
"EXTENDED CARE SPECIALISTS, INC",2466407713,IN,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,100,,WI,Y
"EXTENDED CARE SPECIALISTS, INC",2466407713,IN,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,,1,WI,Y
"EXTENDED CARE SPECIALISTS, INC",2466407713,IN,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100,,WI,Y
"EXTENDED CARE SPECIALISTS, INC",2466407713,IN,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,,1,WI,Y
"EXTENDED CARE SPECIALISTS, INC",2466407713,IN,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,100,,WI,Y
"EXTENDED CARE SPECIALISTS, INC",2466407713,IN,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,,1,WI,Y
ALLERGY AND ASTHMA SPECIALISTS PC,2466422670,PA,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,57,,REG,Y
ALLERGY AND ASTHMA SPECIALISTS PC,2466422670,PA,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,31,,REG,Y
ALLERGY AND ASTHMA SPECIALISTS PC,2466422670,PA,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,14,,REG,N
ALLERGY AND ASTHMA SPECIALISTS PC,2466422670,PA,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,1,,REG,Y
ALLERGY AND ASTHMA SPECIALISTS PC,2466422670,PA,Y,PQRS_GRP_53_1,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,N,63,,REG,N
ALLERGY AND ASTHMA SPECIALISTS PC,2466422670,PA,Y,PQRS_GRP_53_2,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,N,87,,REG,N
ALLERGY AND ASTHMA SPECIALISTS PC,2466422670,PA,Y,PQRS_GRP_53_3,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,N,97,,REG,Y
MASLAND ASSOCIATES INC,2466435425,PA,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,90,,REG,Y
THE EAR NOSE AND THROAT SURGICAL ASSOCIATES PA,2466437926,FL,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic  First OR Second Generation Cephalosporin,N,100,,REG,Y
THE EAR NOSE AND THROAT SURGICAL ASSOCIATES PA,2466437926,FL,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,100,,REG,Y
THE EAR NOSE AND THROAT SURGICAL ASSOCIATES PA,2466437926,FL,Y,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N,100,,REG,Y
STRONG PALLIATIVE CARE GROUP,2466439237,NY,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,92,,REG,Y
STRONG PALLIATIVE CARE GROUP,2466439237,NY,Y,PQRS_GRP_51_1,Chronic Obstructive Pulmonary Disease (COPD): Spirometry Evaluation,N,76,,REG,Y
"VASCULAR SPECIALTY SERVICES, INC.",2466443197,MD,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,60,,REG,Y
"UPSTATE EMERGENCY MEDICINE, INC",2466443494,NY,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,100,,REG,Y
"UPSTATE EMERGENCY MEDICINE, INC",2466443494,NY,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,100,,REG,Y
"UPSTATE EMERGENCY MEDICINE, INC",2466443494,NY,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,100,,REG,Y
"UPSTATE EMERGENCY MEDICINE, INC",2466443494,NY,Y,PQRS_GRP_7_1,Coronary Artery Disease (CAD): Beta-Blocker Therapy  Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,100,,REG,Y
"PULMONARY AND CRITICAL CARE CONSULTANTS, PA",2466446323,TX,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,100,,REG,Y
"PULMONARY AND CRITICAL CARE CONSULTANTS, PA",2466446323,TX,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,4,,REG,N
"PULMONARY AND CRITICAL CARE CONSULTANTS, PA",2466446323,TX,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,2,,REG,Y
"PULMONARY AND CRITICAL CARE CONSULTANTS, PA",2466446323,TX,Y,PQRS_GRP_51_1,Chronic Obstructive Pulmonary Disease (COPD): Spirometry Evaluation,N,93,,REG,Y
"PULMONARY AND CRITICAL CARE CONSULTANTS, PA",2466446323,TX,Y,PQRS_GRP_52_1,Chronic Obstructive Pulmonary Disease (COPD): Inhaled Bronchodilator Therapy,N,24,,REG,Y
"PULMONARY AND CRITICAL CARE CONSULTANTS, PA",2466446323,TX,Y,PQRS_GRP_53_1,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,N,78,,REG,N
"PULMONARY AND CRITICAL CARE CONSULTANTS, PA",2466446323,TX,Y,PQRS_GRP_53_2,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,N,94,,REG,N
"PULMONARY AND CRITICAL CARE CONSULTANTS, PA",2466446323,TX,Y,PQRS_GRP_53_3,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,N,97,,REG,Y
PERFORMANCE ORTHOPEDICS PLLC,2466477047,MI,Y,PQRS_GRP_109_1,Osteoarthritis (OA): Function and Pain Assessment,N,73,,REG,Y
PERFORMANCE ORTHOPEDICS PLLC,2466477047,MI,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,49,,REG,Y
PERFORMANCE ORTHOPEDICS PLLC,2466477047,MI,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,52,,REG,Y
PERFORMANCE ORTHOPEDICS PLLC,2466477047,MI,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,97,,REG,Y
PERFORMANCE ORTHOPEDICS PLLC,2466477047,MI,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,97,,REG,Y
FLORIDA HOSPITAL ZEPHYRHILLS INC,2466499678,FL,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,81,,REG,Y
FLORIDA HOSPITAL ZEPHYRHILLS INC,2466499678,FL,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,65,,REG,Y
FLORIDA HOSPITAL ZEPHYRHILLS INC,2466499678,FL,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,19,,REG,N
FLORIDA HOSPITAL ZEPHYRHILLS INC,2466499678,FL,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,4,,REG,Y
FLORIDA HOSPITAL ZEPHYRHILLS INC,2466499678,FL,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,42,,REG,Y
CALIFORNIA HAND AND PHYSICAL THERAPY,2466511068,CA,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,98,,REG,Y
CALIFORNIA HAND AND PHYSICAL THERAPY,2466511068,CA,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,85,,REG,Y
CALIFORNIA HAND AND PHYSICAL THERAPY,2466511068,CA,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
"UPPER CHESAPEAKE ENDOCRINOLOGY ASSOCIATES, LLC",2466529011,MD,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,80,,REG,Y
"UPPER CHESAPEAKE ENDOCRINOLOGY ASSOCIATES, LLC",2466529011,MD,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,96,,REG,Y
"UPPER CHESAPEAKE ENDOCRINOLOGY ASSOCIATES, LLC",2466529011,MD,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,16,,REG,N
"UPPER CHESAPEAKE ENDOCRINOLOGY ASSOCIATES, LLC",2466529011,MD,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,3,,REG,Y
"UPPER CHESAPEAKE ENDOCRINOLOGY ASSOCIATES, LLC",2466529011,MD,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,46,,REG,Y
RIDGEWOOD ORTHOPEDIC GROUP LLC,2466544408,NJ,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,67,,REG,Y
RIDGEWOOD ORTHOPEDIC GROUP LLC,2466544408,NJ,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic  First OR Second Generation Cephalosporin,N,99,,REG,Y
RIDGEWOOD ORTHOPEDIC GROUP LLC,2466544408,NJ,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,99,,REG,Y
RIDGEWOOD ORTHOPEDIC GROUP LLC,2466544408,NJ,Y,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N,83,,REG,Y
RIDGEWOOD ORTHOPEDIC GROUP LLC,2466544408,NJ,Y,PQRS_GRP_47_1,Care Plan,N,33,,REG,Y
RIDGEWOOD ORTHOPEDIC GROUP LLC,2466544408,NJ,Y,PQRS_GRP_48_1,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N,87,,REG,Y
NORTHEAST FLORIDA HOSPITALISTS INC.,2466544663,FL,Y,PQRS_GRP_47_1,Care Plan,N,66,,REG,Y
INFECTIOUS DISEASE CONSULTANTS,2466550090,VA,Y,PQRS_GRP_46_1,Medication Reconciliation,N,98,,REG,N
INFECTIOUS DISEASE CONSULTANTS,2466550090,VA,Y,PQRS_GRP_46_2,Medication Reconciliation,N,100,,REG,Y
HENRY PHYSICIAN SERVICES LLC,2466600051,MO,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,79,,REG,Y
HENRY PHYSICIAN SERVICES LLC,2466600051,MO,Y,PQRS_GRP_47_1,Care Plan,N,98,,REG,Y
HENRY PHYSICIAN SERVICES LLC,2466600051,MO,Y,PQRS_GRP_5_1,Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,100,,REG,Y
RYC ORTHOPAEDICS PC,2466646039,NY,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,1,,REG,Y
RYC ORTHOPAEDICS PC,2466646039,NY,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic  First OR Second Generation Cephalosporin,N,100,,REG,Y
RYC ORTHOPAEDICS PC,2466646039,NY,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,100,,REG,Y
RYC ORTHOPAEDICS PC,2466646039,NY,Y,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N,100,,REG,Y
HOSPITALIST SERVICES OF NEVADA-MANDAVIA PC,2466761440,NV,Y,PQRS_GRP_47_1,Care Plan,N,96,,REG,Y
JOHN FITZGIBBON MEMORIAL HOSPITAL INC,2567351570,MO,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,85,,REG,Y
JOHN FITZGIBBON MEMORIAL HOSPITAL INC,2567351570,MO,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic  First OR Second Generation Cephalosporin,N,89,,REG,Y
JOHN FITZGIBBON MEMORIAL HOSPITAL INC,2567351570,MO,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,100,,REG,Y
JOHN FITZGIBBON MEMORIAL HOSPITAL INC,2567351570,MO,Y,PQRS_GRP_47_1,Care Plan,N,87,,REG,Y
JOHN FITZGIBBON MEMORIAL HOSPITAL INC,2567351570,MO,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,98,,REG,Y
PRIMA CARE PC,2567356017,MA,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,89,,REG,Y
CD PRACTICE ASSOCIATES INC,2567359839,MA,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,89,,REG,Y
LINCOLN ORTHOPAEDIC CENTER PC,2567432461,NE,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic  First OR Second Generation Cephalosporin,N,97,,REG,Y
LINCOLN ORTHOPAEDIC CENTER PC,2567432461,NE,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,97,,REG,Y
LINCOLN ORTHOPAEDIC CENTER PC,2567432461,NE,Y,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N,98,,REG,Y
EUREKA PHYSICAL THERAPY,2567437569,CA,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,95,,REG,Y
EUREKA PHYSICAL THERAPY,2567437569,CA,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,19,,REG,Y
EUREKA PHYSICAL THERAPY,2567437569,CA,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,73,,REG,Y
EUREKA PHYSICAL THERAPY,2567437569,CA,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,82,,REG,Y
HOOD MEDICAL GROUP,2567446669,TX,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,80,,REG,Y
HOOD MEDICAL GROUP,2567446669,TX,Y,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,Y,70,,REG,Y
HOOD MEDICAL GROUP,2567446669,TX,Y,PQRS_GRP_334_1,Adult Sinusitis: More than One Computerized Tomography (CT) Scan Within 90 Days for Chronic Sinusitis (Overuse),Y,2,,REG,N
"THOMAS-SPANN CLINIC, P.A.",2567448343,TX,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,86,,REG,Y
"THOMAS-SPANN CLINIC, P.A.",2567448343,TX,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,63,,REG,Y
"THOMAS-SPANN CLINIC, P.A.",2567448343,TX,Y,PQRS_GRP_41_1,Osteoporosis: Pharmacologic Therapy for Men and Women Aged 50 Years and Older,N,68,,REG,Y
"LIFESPAN PHYSICIAN GROUP, INC.",2567455082,RI,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,38,,WI,Y
"LIFESPAN PHYSICIAN GROUP, INC.",2567455082,RI,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,44,,WI,Y
"LIFESPAN PHYSICIAN GROUP, INC.",2567455082,RI,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,47,,WI,Y
"LIFESPAN PHYSICIAN GROUP, INC.",2567455082,RI,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,31,,WI,Y
"LIFESPAN PHYSICIAN GROUP, INC.",2567455082,RI,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,21,,WI,Y
"LIFESPAN PHYSICIAN GROUP, INC.",2567455082,RI,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,89,,WI,Y
"LIFESPAN PHYSICIAN GROUP, INC.",2567455082,RI,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,50,,WI,Y
"LIFESPAN PHYSICIAN GROUP, INC.",2567455082,RI,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,75,,WI,Y
"LIFESPAN PHYSICIAN GROUP, INC.",2567455082,RI,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,5,,WI,Y
"LIFESPAN PHYSICIAN GROUP, INC.",2567455082,RI,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,89,,WI,Y
"LIFESPAN PHYSICIAN GROUP, INC.",2567455082,RI,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,44,,WI,Y
WAYNE GENERAL HOSPITAL,2668457581,MS,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,67,,REG,Y
"LIFESPAN PHYSICIAN GROUP, INC.",2567455082,RI,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,37,,WI,Y
"LIFESPAN PHYSICIAN GROUP, INC.",2567455082,RI,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,40,,WI,Y
"LIFESPAN PHYSICIAN GROUP, INC.",2567455082,RI,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,,1,WI,Y
APOGEE MEDICAL GROUP CALIFORNIA INC.,2567509169,CA,,PQRS_GRP_32_1,Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,N,28,,REG,Y
APOGEE MEDICAL GROUP CALIFORNIA INC.,2567509169,CA,,PQRS_GRP_33_1,Stroke and Stroke Rehabilitation: Anticoagulant Therapy Prescribed for Atrial Fibrillation (AF) at Discharge,N,29,,REG,Y
APOGEE MEDICAL GROUP CALIFORNIA INC.,2567509169,CA,,PQRS_GRP_47_1,Care Plan,N,85,,REG,Y
LAKE CUMBERLAND PHYSICIAN PRACTICES,2567510464,KY,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,84,,REG,Y
LAKE CUMBERLAND PHYSICIAN PRACTICES,2567510464,KY,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,81,,REG,Y
